Date,Open,High,Low,Close,Adj Close,Volume,,Periodic Daily Return,Random Value,Next Days Price,Difference,Percent Difference,,
2021-01-08,1777.160034,1799.359985,1761.219971,1797.829956,1797.829956,1774200,,0.013151835,0.021453934,1839.758797,,,,
2021-01-11,1777.02002,1784.380005,1752.140015,1756.290039,1756.290039,1739800,,-0.023376706,-0.009307369,1742.806013,-83.46875764,4.642248282,Average Daily Return,0.001717998
2021-01-12,1745.359985,1767.900024,1716.380005,1737.430054,1737.430054,1476400,,-0.010796611,0.0056617,1750.092991,-5.375959114,0.30894221,,
2021-01-13,1727.319946,1756.390015,1727.319946,1747.25,1747.25,1171600,,0.005636082,0.017238881,1780.478568,-2.84299066,0.162580031,Variance,0.000235631
2021-01-14,1748.869995,1767.550049,1726.069946,1730.920044,1730.920044,1460600,,-0.009390039,0.015644943,1761.028846,-49.55852434,2.822722784,,
2021-01-15,1729.02002,1747.619995,1711.709961,1727.619995,1727.619995,1572200,,-0.001908349,0.012926933,1752.900513,-33.40885107,1.915288846,Drift,0.001600183
2021-01-19,1743,1803.839966,1732.829956,1784.469971,1784.469971,2083000,,0.0323767,-0.017308588,1756.657808,31.56945837,1.784911053,,
2021-01-20,1826.369995,1899.719971,1819.51001,1880.069946,1880.069946,3207600,,0.052187545,-0.029215335,1828.861842,123.4121383,6.786988008,Sigma,0.015350266
2021-01-21,1893.650024,1932.079956,1879.410034,1884.150024,1884.150024,2931700,,0.002167822,-0.008393922,1871.392983,55.28818244,2.978077337,,
2021-01-22,1891.459961,1904.390015,1876.5,1892.560059,1892.560059,1637200,,0.004453638,0.020085442,1934.049644,21.16707626,1.124725842,,
2021-01-25,1912.73999,1921.819946,1859.160034,1894.280029,1894.280029,2529300,,0.000908393,-0.028601336,1843.816635,-39.76961496,2.077648393,,
2021-01-26,1885.98999,1915.75,1876.130005,1907.949951,1907.949951,1573100,,0.007190507,0.017497993,1944.738493,64.13331582,3.418832933,,
2021-01-27,1874.910034,1880.469971,1797.280029,1818.939941,1818.939941,4125600,,-0.04777546,-0.015504241,1793.824304,-125.7985524,6.684872504,,
2021-01-28,1831,1887.98999,1831,1853.199951,1853.199951,2763900,,0.018659967,-0.025962756,1808.596763,59.37564725,3.256114745,,
2021-01-29,1834.02002,1847.540039,1801.560059,1827.359985,1827.359985,2226500,,-0.014041554,-0.000515203,1829.34371,18.76322247,1.032092722,,
2021-02-01,1844.589966,1915.540039,1844.589966,1893.069946,1893.069946,2012600,,0.035327527,-0.00484292,1886.94116,63.72623586,3.423920163,,
2021-02-02,1913.130005,1949.369995,1906.369995,1919.119995,1919.119995,3316600,,0.013666924,0.005266666,1932.343653,32.17883459,1.690925778,,
2021-02-03,2065.610107,2106.620117,2013.550049,2058.879883,2058.879883,4894100,,0.070295344,-0.000681212,2060.772803,126.5362305,6.340723807,,
2021-02-04,2060.620117,2069.300049,2035.099976,2053.629883,2053.629883,2429800,,-0.002553187,0.013893274,2085.69547,-7.14291972,0.347215393,,
2021-02-05,2059.560059,2095.939941,2050,2088.830078,2088.830078,1493300,,0.016995236,0.012815373,2119.15981,3.134608,0.150177929,,
2021-02-08,2100,2115,2063.350098,2084.52002,2084.52002,1441400,,-0.002065515,-0.005857552,2075.664313,-34.63979005,1.648069856,,
2021-02-09,2074.800049,2098.51001,2070,2075.389893,2075.389893,1094600,,-0.004389586,0.015921186,2112.074004,-0.274419537,0.013221679,,
2021-02-10,2083.139893,2098.879883,2052.23999,2086.47998,2086.47998,1255100,,0.00532939,0.004505774,2099.258912,-25.59402418,1.219182808,,
2021-02-11,2091,2094,2068.860107,2088.75,2088.75,1024000,,0.001087375,0.024717884,2144.451626,-10.50891152,0.501857171,,
2021-02-12,2079.77002,2099.5,2073.570068,2095.030029,2095.030029,949500,,0.003002086,0.008984107,2117.3222,-49.42159711,2.331492439,,
2021-02-16,2091.75,2145.139893,2091.75,2110.699951,2110.699951,1550200,,0.007451736,-0.010985743,2090.982523,-6.622248627,0.313255153,,
2021-02-17,2093.97998,2122.439941,2088.350098,2118.620117,2118.620117,1014700,,0.003745366,-0.001368696,2119.110606,27.63759353,1.313073745,,
2021-02-18,2105,2121.98999,2093.330078,2105.810059,2105.810059,1127300,,-0.006064769,0.005385782,2120.572679,-13.30054693,0.629623512,,
2021-02-19,2107.790039,2118.580078,2083.429932,2088.810059,2088.810059,1896900,,-0.008105665,-0.010071987,2071.188817,-31.7626203,1.509134344,,
2021-02-22,2053.600098,2080.330078,2048,2054.26001,2054.26001,1473300,,-0.016678863,-0.020312373,2016.177719,-16.92880657,0.820701324,,
2021-02-23,2013.98999,2072.5,1990.22998,2060.120117,2060.120117,1732900,,0.0028486,0.001999277,2067.548798,43.94239837,2.155995472,,
2021-02-24,2030.040039,2088.320068,2027.530029,2083.810059,2083.810059,1130400,,0.011433687,0.016807528,2122.523452,16.2612607,0.783418695,,
2021-02-25,2055.929932,2083,2006.48999,2015.949951,2015.949951,2077400,,-0.033107453,0.0060727,2031.477594,-106.5735009,5.150377472,,
2021-02-26,2029.949951,2056.52002,2001.01001,2021.910034,2021.910034,2002100,,0.002952102,-0.002901724,2019.280145,-9.567560116,0.472077235,,
2021-03-01,2048,2076.22998,2034.420044,2069.659912,2069.659912,1303000,,0.023341674,0.012809756,2099.699499,50.37976653,2.464196873,,
2021-03-02,2064.840088,2094.73999,2056.669922,2064.47998,2064.47998,1278200,,-0.002505931,0.00269399,2073.364276,-35.21951935,1.691546655,,
2021-03-03,2051.949951,2075.98999,1994,2011.410034,2011.410034,1694600,,-0.026042383,0.007495071,2029.787768,-61.95424211,3.03342302,,
2021-03-04,2014.869995,2074.590088,2005.430054,2033.930054,2033.930054,2460800,,0.011133923,-0.014824887,2007.209009,4.142286379,0.203866831,,
2021-03-05,2061.149902,2106.199951,2027.780029,2097.070068,2097.070068,2655000,,0.030571256,-0.000960526,2098.411903,89.86105865,4.378896121,,
2021-03-08,2084.060059,2113.73999,2005.189941,2007.5,2007.5,1843400,,-0.043650998,0.01766848,2046.55692,-90.9119029,4.428341623,,
2021-03-09,2049.75,2063.919922,2035.599976,2040.359985,2040.359985,1696000,,0.016236089,0.029232904,2104.25049,-6.196934713,0.303257192,,
2021-03-10,2061.399902,2061.399902,2019.329956,2036.189941,2036.189941,1355000,,-0.00204587,-0.000853898,2037.710086,-68.06054892,3.287599474,,
2021-03-11,2058.219971,2111.27002,2056.449951,2100.540039,2100.540039,1385100,,0.031114088,-0.015173446,2072.221478,62.829953,3.036546903,,
2021-03-12,2076.409912,2077.610107,2032.420044,2050,2050,1690900,,-0.02435468,-0.016806618,2019.062627,-22.22147843,1.078131223,,
2021-03-15,2044.97998,2054.98999,2027.790039,2054.439941,2054.439941,1308400,,0.002163483,-0.014928961,2027.238451,35.37731388,1.736948156,,
2021-03-16,2065.98999,2113.679932,2059.290039,2083.889893,2083.889893,1595000,,0.014233012,0.00989829,2107.989734,56.65144226,2.756004558,,
2021-03-17,2068.469971,2099,2044.119995,2082.219971,2082.219971,1319100,,-0.00080167,-0.01786305,2048.630971,-25.76976349,1.22999875,,
2021-03-18,2048.179932,2068.75,2019.180054,2021.339966,2021.339966,1585000,,-0.029673977,0.003085769,2030.834094,-27.29100548,1.341090927,,
2021-03-19,2029.72998,2037.040039,2002.930054,2026.959961,2026.959961,2303600,,0.002776473,-0.010250489,2009.501755,-3.874133018,0.19094774,,
2021-03-22,2027.630005,2048.340088,2014,2030.689941,2030.689941,1676800,,0.001838493,0.023988956,2083.324108,21.18818581,1.048870321,,
2021-03-23,2039.949951,2064.110107,2028,2041.329956,2041.329956,1425500,,0.005225927,-0.025920624,1992.282753,-41.99415205,2.036250866,,
2021-03-24,2051.76001,2067.600098,2029,2032.530029,2032.530029,1260900,,-0.004320198,-0.055237687,1926.382385,40.24727572,1.999957658,,
2021-03-25,2029.050049,2045.640015,1996.089966,2032.459961,2032.459961,1780800,,-3.44739E-05,0.033268487,2104.579181,106.0775761,5.359019975,,
2021-03-26,2031.790039,2039.390015,2003.849976,2024.72998,2024.72998,1398900,,-0.003810514,0.017751546,2064.293583,-79.84920067,3.867436298,,
2021-03-29,2022.160034,2049.209961,2005.449951,2045.790039,2045.790039,1324600,,0.010347694,0.006052522,2061.505923,-18.50354381,0.900397438,,
2021-03-30,2052.97998,2062.669922,2036.150024,2046.469971,2046.469971,1365600,,0.000332301,-0.006840507,2035.773856,-15.03595214,0.732037019,,
2021-03-31,2054.399902,2086.26001,2047,2062.52002,2062.52002,2128500,,0.007812202,0.026549496,2121.404192,26.7461644,1.305234091,,
2021-04-01,2092.25,2135.75,2091.429932,2129.780029,2129.780029,1994000,,0.032090156,-0.020136333,2090.66574,8.375836746,0.394047226,,
2021-04-05,2147.149902,2228.98999,2145.209961,2218.959961,2218.959961,2425500,,0.041019898,0.027718729,2284.980548,128.2942205,5.953845155,,
2021-04-06,2210.919922,2228,2201.790039,2209.26001,2209.26001,1762000,,-0.004380978,0.008878309,2232.531434,-75.7205382,3.369670013,,
2021-04-07,2213.100098,2244.5,2213.100098,2239.030029,2239.030029,1206700,,0.013385127,-0.016198998,2206.580284,6.498594792,0.290663333,,
2021-04-08,2264,2271.790039,2243.01001,2250.429932,2250.429932,1433200,,0.00507853,-0.001459091,2250.747471,43.84964784,1.967670959,,
2021-04-09,2245.439941,2273.969971,2237.26001,2270.669922,2270.669922,1307300,,0.008953629,-0.020016907,2229.234346,19.92245105,0.881248039,,
2021-04-12,2254.120117,2256.889893,2227.820068,2244.620117,2244.620117,1251200,,-0.011538614,0.005253817,2260.057586,15.38577083,0.687808285,,
2021-04-13,2250.98999,2263.469971,2243.050049,2254.429932,2254.429932,1284100,,0.004360845,-0.019393964,2214.669888,-5.627653999,0.249315298,,
2021-04-14,2267.429932,2267.429932,2236.02002,2241.909912,2241.909912,1050100,,-0.005568997,0.027649777,2308.454151,27.24002354,1.222463179,,
2021-04-15,2261.949951,2296,2251.169922,2285.25,2285.25,1458700,,0.019147286,0.004509693,2299.255335,-23.20415098,1.010258833,,
2021-04-16,2289.23999,2294.23999,2270.919922,2282.75,2282.75,1314100,,-0.001094571,0.012937492,2316.178273,-16.50533454,0.720441525,,
2021-04-19,2270.179932,2304.090088,2270.179932,2289.76001,2289.76001,1514500,,0.003066156,-0.01515517,2258.931752,-26.41826336,1.147139268,,
2021-04-20,2297.48999,2299,2257.120117,2279.01001,2279.01001,1114400,,-0.00470587,0.00832869,2301.750718,20.07825837,0.884905952,,
2021-04-21,2272.050049,2280,2244.820068,2278.350098,2278.350098,1160200,,-0.000289603,0.048429411,2395.234489,-23.40061978,1.021838633,,
2021-04-22,2275.399902,2288.879883,2240.320068,2252.52002,2252.52002,1207300,,-0.011401941,-0.007781762,2238.638838,-142.7144689,6.141222332,,
2021-04-23,2267,2306.120117,2261.25,2299.929932,2299.929932,1453300,,0.02082906,-0.008910469,2283.178091,61.29109438,2.700899667,,
2021-04-26,2304.52002,2324.530029,2297.320068,2309.929932,2309.929932,1601900,,0.004338533,0.013743491,2345.64605,26.75184142,1.164868812,,
2021-04-27,2317.629883,2318.449951,2286.159912,2290.97998,2290.97998,2219300,,-0.008237527,0.001627736,2298.387025,-54.66607,2.358010745,,
2021-04-28,2392.5,2431.379883,2353.219971,2359.040039,2359.040039,4055300,,0.029275108,0.00408168,2372.481932,60.65301442,2.604571734,,
2021-04-29,2389.22998,2404.159912,2373.850098,2392.76001,2392.76001,2061700,,0.014192742,0.013474786,2429.104046,20.27807798,0.85108283,,
2021-04-30,2368.02002,2381.850098,2346.560059,2353.5,2353.5,2242800,,-0.016543934,-0.026480757,2295.666022,-75.60404619,3.161626823,,
2021-05-03,2364.909912,2381.550049,2335.5,2343.080078,2343.080078,1412100,,-0.004437245,0.01059213,2371.822506,47.41405579,2.044261737,,
2021-05-04,2313.550049,2324.98999,2256.679932,2306.830078,2306.830078,2240900,,-0.015592015,-0.011946917,2283.084974,-64.99242792,2.77825407,,
2021-05-05,2328.629883,2335,2308.280029,2314.77002,2314.77002,1331800,,0.003436018,0.000690439,2320.078361,31.6850459,1.378253379,,
2021-05-06,2306.330078,2337.350098,2293.040039,2337.350098,2337.350098,1259500,,0.009707512,0.001919089,2345.590359,17.27173738,0.741685569,,
2021-05-07,2363.889893,2371.25,2346.159912,2351.929932,2351.929932,1444900,,0.006218388,0.003150704,2363.13027,6.339573268,0.26991148,,
2021-05-10,2328.139893,2331,2284.540039,2291.75,2291.75,1545700,,-0.025920521,0.005475933,2308.0242,-71.3802698,3.066900357,,
2021-05-11,2243.070068,2280.280029,2233.919922,2270.060059,2270.060059,1709300,,-0.009509429,-0.033873591,2197.967084,-37.96414113,1.658516488,,
2021-05-12,2226.189941,2247.97998,2193.620117,2200.25,2200.25,2318800,,-0.031235299,-0.01119074,2179.249241,2.282916375,0.103810991,,
2021-05-13,2226.120117,2239.439941,2206.719971,2229.040039,2229.040039,1660200,,0.013000027,0.001599384,2236.183424,49.79079774,2.258962358,,
2021-05-14,2258.540039,2284.719971,2250,2278.379883,2278.379883,1599800,,0.021893596,-0.003776579,2273.426617,42.19645912,1.869348429,,
2021-05-17,2263.570068,2289.780029,2255.51001,2288.919922,2288.919922,1079900,,0.004615444,0.019206957,2337.044733,15.49330463,0.679181404,,
2021-05-18,2302.350098,2307.679932,2262.189941,2262.469971,2262.469971,1110200,,-0.011622933,0.026090013,2325.99364,-74.57476184,3.242723054,,
2021-05-19,2228.429932,2274.98999,2225.439941,2271.5,2271.5,1184200,,0.003983282,-0.009901341,2252.721966,-54.49363978,2.370580323,,
2021-05-20,2291,2312,2283.52002,2306.949951,2306.949951,1617600,,0.015485878,-0.002264279,2305.418423,54.22798484,2.378591523,,
2021-05-21,2317.409912,2318.889893,2289.300049,2294.129883,2294.129883,2031600,,-0.005572649,-0.008348143,2278.7013,-11.28853961,0.490854269,,
2021-05-24,2314.889893,2365.550049,2311.959961,2361.040039,2361.040039,1591600,,0.028748581,0.016580885,2404.358866,82.33873936,3.549281451,,
2021-05-25,2372,2384,2355,2362.870117,2362.870117,1122000,,0.000774815,-0.003710821,2357.888212,-41.48874925,1.740581348,,
2021-05-26,2366.52002,2388.98999,2366.459961,2380.310059,2380.310059,1078600,,0.007353725,-0.01051074,2359.194387,22.42184671,0.94642923,,
2021-05-27,2389.050049,2389.050049,2356.26001,2362.679932,2362.679932,1761200,,-0.007434217,0.000137293,2366.788599,3.48554511,0.147633964,,
2021-05-28,2374.419922,2376.070068,2352.850098,2356.850098,2356.850098,1074100,,-0.002470516,-0.021168584,2311.178626,-9.938500994,0.420798526,,
2021-06-01,2374.439941,2385.709961,2354.280029,2381.179932,2381.179932,1167700,,0.010270111,0.018531953,2429.603975,70.00130636,2.983629895,,
2021-06-02,2389.149902,2393.639893,2352.360107,2370.590088,2370.590088,1057900,,-0.004457228,0.005328673,2387.072601,-59.01388679,2.458812541,,
2021-06-03,2345.72998,2357.02002,2329.52002,2347.580078,2347.580078,934800,,-0.009753863,-0.014527545,2317.427377,-39.49252277,1.66823315,,
2021-06-04,2369.27002,2399.030029,2362.409912,2393.570068,2393.570068,1222900,,0.01940096,0.009028382,2419.14596,76.14269057,3.232550705,,
2021-06-07,2389.439941,2404.51001,2381,2402.300049,2402.300049,1206000,,0.003640628,-0.008411454,2385.992931,-16.84591136,0.698790833,,
2021-06-08,2412.01001,2419.52002,2394.780029,2398.439941,2398.439941,1212000,,-0.001608131,0.050896809,2527.714395,12.44700972,0.520312858,,
2021-06-09,2411.429932,2412.879883,2396.899902,2407.939941,2407.939941,897100,,0.003953084,-0.008496413,2391.391359,-119.7744536,4.853437679,,
2021-06-10,2406.919922,2436,2403.780029,2435.129883,2435.129883,1295200,,0.011228509,0.056161382,2579.928434,43.73852398,1.812424385,,
2021-06-11,2440,2441.719971,2418.959961,2430.199951,2430.199951,1097900,,-0.002026557,0.023911301,2492.995555,-149.7284828,5.977031777,,
2021-06-14,2432.26001,2448.919922,2418,2448.909912,2448.909912,1104900,,0.007669453,0.01500413,2489.911841,-44.08564335,1.784155672,,
2021-06-15,2449,2455.51001,2421.120117,2428.389893,2428.389893,1078100,,-0.008414549,0.020262232,2482.064956,-61.5219484,2.501755757,,
2021-06-16,2431.439941,2437.719971,2389.399902,2415.449951,2415.449951,1323600,,-0.005342857,0.026578021,2484.481009,-66.61500456,2.720359441,,
2021-06-17,2413.949951,2450.449951,2410,2434.870117,2434.870117,1292100,,0.00800783,0.005707857,2452.729423,-49.61089216,2.016968941,,
2021-06-18,2427.340088,2432.060059,2400.300049,2402.219971,2402.219971,2305800,,-0.013500117,0.030250035,2479.96269,-50.50945151,2.080740598,,
2021-06-21,2410.01001,2440,2397.969971,2436.25,2436.25,1370700,,0.014066674,-0.005001804,2427.97688,-43.71268997,1.77830752,,
2021-06-22,2435,2448,2421.280029,2446.610107,2446.610107,1119500,,0.004243465,0.028789482,2522.10306,18.63322744,0.764504869,,
2021-06-23,2441.870117,2461.909912,2436.689941,2442.540039,2442.540039,957400,,-0.001664939,-0.001217741,2443.474346,-79.56302131,3.20518594,,
2021-06-24,2454,2461.110107,2446,2450,2450,1068100,,0.003049527,-0.008731001,2432.591638,6.525654288,0.26670843,,
2021-06-25,2440,2452.659912,2431.300049,2450.169922,2450.169922,1729700,,6.93535E-05,-0.015720841,2415.815038,17.57828409,0.720014028,,
2021-06-28,2453.570068,2455.699951,2428.110107,2450.719971,2450.719971,1426300,,0.000224469,-0.001135897,2451.858068,34.90493334,1.434488123,,
2021-06-29,2453.409912,2460.419922,2433.820068,2445.449951,2445.449951,1155400,,-0.002152712,0.012695374,2480.660095,-6.408117414,0.261699586,,
2021-06-30,2439.889893,2445.139893,2427.090088,2441.790039,2441.790039,1223700,,-0.001497742,0.018806128,2492.129843,-38.87005561,1.57929708,,
2021-07-01,2434.5,2451.73999,2430.629883,2448.889893,2448.889893,905500,,0.002903424,0.007771306,2471.947511,-43.23995008,1.750243974,,
2021-07-02,2463,2508.080078,2461.189941,2505.149902,2505.149902,1299100,,0.022713757,0.009768158,2533.791796,33.20239108,1.334207002,,
2021-07-06,2512.969971,2528.560059,2491.649902,2523.800049,2523.800049,1320200,,0.007417148,-0.023086645,2470.150943,-9.991746618,0.395118741,,
2021-07-07,2543.23999,2545.679932,2523.060059,2529.47998,2529.47998,1203000,,0.002248018,-0.011494013,2504.57713,59.32903707,2.373336672,,
2021-07-08,2480.52002,2511.909912,2480.439941,2500.879883,2500.879883,1189500,,-0.011371117,0.003046944,2512.528835,-3.697246874,0.147728644,,
